Question,Answer
"What is AI?","Artificial Intelligence is the simulation of human intelligence by machines."
"What are the uses of AI?","AI is used in healthcare, education, banking, agriculture, transportation, and many other industries."
"What are the applications of AI?","AI is applied in virtual assistants, recommendation systems, robotics, self-driving cars, and medical diagnosis."
"What are the advantages of AI?","AI improves efficiency, reduces human errors, automates repetitive tasks, and provides faster decision-making."
"What are the disadvantages of AI?","AI can be expensive, may replace some jobs, and raises ethical and privacy concerns."
"Who invented AI?","The term Artificial Intelligence was coined by John McCarthy in 1956."
"When was AI invented?","Artificial Intelligence became an academic field in 1956."
"What is the goal of AI?","The goal of AI is to build systems that can perform tasks requiring human intelligence."
"What are the types of AI?","The three main types are Narrow AI, General AI, and Super AI."
"What is Narrow AI?","Narrow AI performs specific tasks such as speech recognition or face detection."
"What is General AI?","General AI is a theoretical AI capable of performing any intellectual task a human can do."
"What is Super AI?","Super AI is a hypothetical intelligence that would surpass human intelligence."
"How does AI work?","AI learns from data using algorithms and models to make predictions or decisions."
"What is Machine Learning?","Machine Learning is a branch of AI that enables computers to learn from data without explicit programming."
"What is Deep Learning?","Deep Learning is a subset of Machine Learning that uses neural networks with multiple layers."
"What is NLP?","Natural Language Processing enables computers to understand and process human language."
"What is Computer Vision?","Computer Vision enables computers to analyze and understand images and videos."
"What is Robotics?","Robotics combines AI with machines to automate physical tasks."
"What is Generative AI?","Generative AI creates new content such as text, images, music, videos, and code."
"What is a chatbot?","A chatbot is a software application that communicates with users through text or voice."
